서비스ID,서비스명,서비스 요약,상세 링크,시도명,시군구명,담당부서명,신청방법,지원주기,지급방식,생애주기,대상특성,관심주제,조회수,최종수정일
WLF00003418,괴산군 결혼예식장 이용 장려금 지원,지역 주민의 경제적 부담 경감과 지역 경제 활성화를 통한 지역 주민의 복리증진에 기여 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003418&wlfareInfoReldBztpCd=02,충청북도,괴산군,충청북도 괴산군 행정복지국 가족행복과,방문,1회성,현금지급,"중장년, 노년, 청년",,서민금융,413,20250813
WLF00002023,청각·언어장애인 영상전화기 사용료 지원,청각·언어장애로 의사소통에 어려움을 겪고 있는 장애인에게 영상전화 이용에 따른 사용료를 지원하여 장애인 편의증진 및 생활안정 도모 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002023&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,방문,분기,현금지급,,장애인,서민금융,539,20250813
WLF00001931,저소득 중증장애인 유료방송 이용요금 지원,저소득 중증장애인에게 다양한 정보와 문화콘텐츠를 접할 기회를 확대하고 경제적 부담을 경감시키고자 함.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001931&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,방문,월,현금지급,,"장애인, 저소득",서민금융,399,20250813
WLF00001930,중증장애인 교통비 지원 ,"ㅇ 중증장애인은 비장애인에 비하여 사회생활을 영위함에 있어 이동의 경제적 부담이 현저히 높음에 따라, 
ㅇ 교통수당을 지원하여 장애인 가정의 경제적 부담을 경감하고 최소한의 이동권 보장 ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001930&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,방문,분기,현금지급,,장애인,서민금융,749,20250813
WLF00004385,청각장애인 인공달팽이관 수술지원,저소득 청각장애인에게 인공달팽이관 이식 수술비 등을 지원하여 청각기능 회복 및 장애인 가정의 의료비 부담 경감 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004385&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,방문,수시,현금지급,,"저소득, 장애인",서민금융,1710,20250813
WLF00004012,중증장애인 의료비 지원 ,"ㅇ 장애로 인하여 의료비 지출이 높은 중증장애인의 의료비를 지원함으로써 장애인과 그 가족의 정신적 고통과 경제적 부담을 경감
ㅇ 경제적 조건 없이 의료비를 지원하여 중증 장애인의 소외감 해소 ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004012&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,"우편, 방문",수시,현금지급,,장애인,서민금융,5772,20250813
WLF00001885,여성어업인 복지바우처 지원,어업과 가사 및 육아를 병행하는 여성어업인들을 대상으로 문화 등을 접할 수 있는 기회를 제공하여 영어의욕 고취 및 삶의 질 향상 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001885&wlfareInfoReldBztpCd=02,강원특별자치도,,강원특별자치도 글로벌본부 해양수산국 어업진흥과,방문,년,전자바우처(바우처),"노년, 중장년, 청년",,,1584,20250813
WLF00004462,저소득재가노인 밑반찬배달사업(추가),가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신에게 밑반찬서비스를 제공하여 기본적 생계를 보장하고 복지사각지대를 해소하고자 함.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004462&wlfareInfoReldBztpCd=02,충청남도,부여군,충청남도 부여군 행정복지국 가족행복과,"전화, 방문",주,현물지급,노년,저소득,안전·위기,2742,20250813
WLF00001762,사비골 어린이날 큰잔치,2023년 제101회 어린이날을 맞이하여 미래의 주역으로 자라 날 어린이에게 꿈과 희망을 줄 수 있는 축제의 장 마련,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001762&wlfareInfoReldBztpCd=02,충청남도,부여군,충청남도 부여군 행정복지국 가족행복과,,1회성,프로그램/서비스(서비스),"영유아, 아동",,,144,20250813
WLF00002026,장애인 고용촉진장려금 지원사업,"-취업기회가 적은 장애인에게 직장생활을 할 수 있는 기회를   확대·제공하고, 사업체의 장애인 고용 기피 현상을 
 해소하기 위해 50인미만 영세업체에 고용장려금 지원 
- 장애인에게 안정적인 일자리 보장으로 자립기반 마련 및 비장애인과 함께 일하는 사업환경 조성",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002026&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,방문,분기,현금지급,"노년, 청년, 중장년",장애인,서민금융,1326,20250813
WLF00004011,장애인 활동지원 추가지원,장애인활동지원 서비스를 받고 있는 국고지원분 이용자 중 시간 부족으로 어려움을 겪고 있는 장애인에게 활동지원서비스를 도비로 추가지원하여 자립생활과 사회참여 증진에 기여하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004011&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,방문,수시,전자바우처(바우처),,장애인,,912,20250813
WLF00002007,신장장애인 의료비 지원,투석을 받아 의료비 지출이 높은 신장장애인 가정에 의료비를 지원함으로써 경제적 부담을 해소하여 보다 나은 생활기반 마련 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002007&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,"방문, 우편",수시,현금지급,,장애인,서민금융,4799,20250813
WLF00001751,중증장애인 상해보험 가입,"심한장애인을 대상으로 상해보험을 가입하여 일상생활에서 발생할 수 있는 안전사고 피해로부터 경제적 어려움을 해소하고, 안정된 사회생활 도모",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001751&wlfareInfoReldBztpCd=02,제주특별자치도,서귀포시,제주특별자치도 서귀포시 복지위생국 장애인복지과,방문,수시,"현금지급, 기타","노년, 청소년, 청년, 중장년",장애인,서민금융,2204,20250813
WLF00001907,저소득국가유공자 및 유족지원,저소득 국가유공자 및 유족들에게 지원을 하기 위함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001907&wlfareInfoReldBztpCd=02,제주특별자치도,제주시,제주특별자치도 제주시 복지위생국 주민복지과,,1회성,"기타, 지역화폐",,보훈대상자,서민금융,264,20250813
WLF00000154,지역여성 인적자원개발 지원,새일센터 미설치 지역 여성들에게 취업지원 서비스 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000154&wlfareInfoReldBztpCd=02,충청남도,,충청남도 여성가족정책관,"방문, 모바일, 전화, 인터넷",1회성,"프로그램/서비스(서비스), 기타","청년, 중장년, 노년",,"입양·위탁, 일자리",301,20250813
WLF00001771,출생축하금 지원,출산가정의 경제적 부담을 경감하여 출산에 대한 긍정적 인식을 제고하고 출산 친화적 사회분위기 확산을 선도하여 출산율 향상 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001771&wlfareInfoReldBztpCd=02,전북특별자치도,정읍시,전북특별자치도 정읍시 보건소 건강증진과,"방문, 인터넷",반기,현금지급,"임신 · 출산, 영유아",,"입양·위탁, 서민금융, 보호·돌봄, 주거, 임신·출산",646,20250813
WLF00001857,참전유공자수당, 국가에 공헌하고 헌신한 데에 대한 응분의 예우와 지원을 함으로써 참전유공자의 명예를 선양하고 국민의 애국정신을 함양,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001857&wlfareInfoReldBztpCd=02,충청남도,아산시,충청남도 아산시 문화복지국 사회복지과,방문,월,현금지급,노년,,서민금융,312,20250813
WLF00002082,행복키움지원단 운영지원,"민관협력을 통한 지역단위 통합적 서비스 제공 체계를 구축·운영함으로써 
찾아가는 보건복지서비스 제공 및 지역주민 복지 체감도 향상",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002082&wlfareInfoReldBztpCd=02,충청남도,,충청남도 복지보건국 복지보육정책과,,수시,현물지급,,,,503,20250813
WLF00003011,난치병 환자 치료비 지원,난치병 환자 치료비 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003011&wlfareInfoReldBztpCd=02,충청남도,,충청남도 복지보건국 장애인복지과,방문,수시,현금지급,,,"서민금융, 신체건강",855,20250813
WLF00003461,방문건강관리사업,"취약계층의 건강형평성제고 , 취약계층의 건강증진 및 자가관리능력 향상 , 건강생활형태개선 등",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003461&wlfareInfoReldBztpCd=02,강원특별자치도,태백시,강원특별자치도 태백시 보건소,,반기,"프로그램/서비스(서비스), 기타","중장년, 노년","장애인, 한부모·조손, 저소득",,1033,20250813
WLF00001313,노인 목욕비 및 이미용비 지원,목욕비 및 이미용비를 지원하여 어르신들의 품위유지 및 활기찬 노후생활영위,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001313&wlfareInfoReldBztpCd=02,충청남도,부여군,충청남도 부여군 행정복지국 가족행복과,방문,분기,실물바우처,노년,저소득,,1211,20250813
WLF00003736,중증장애인 자립홈 지원,"탈 시설을 희망하는 장애인이 증가함에 따라 일정기간 지역사회의 일상생활 및 다양한 사회활동을 체험함으로써, 향후 자립생활하는데 어려움이 없도록 지원하기 위함 ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003736&wlfareInfoReldBztpCd=02,충청북도,,충청북도 청주시 복지국 장애인복지과,,년,"프로그램/서비스(서비스), 기타",,장애인,,1033,20250813
WLF00001730,고엽제후유(의)증환자 도외병원 수진교통비,"고엽제 후유(의)증으로 고생하는 환자들의 도외 보훈
병원 건강 검진시 교통비를 지원",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001730&wlfareInfoReldBztpCd=02,제주특별자치도,제주시,제주특별자치도 제주시 복지위생국 주민복지과,방문,1회성,현금지급,,보훈대상자,서민금융,230,20250813
WLF00003437,국가유공자 보훈명예수당 지급,"국가유공자에 대한 예우 및 영예로운 삶 지원 
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003437&wlfareInfoReldBztpCd=02,강원특별자치도,태백시,강원특별자치도 태백시 행정복지국 복지정책과,방문,월,현금지급,,보훈대상자,서민금융,563,20250813
WLF00000511,기미아보호,"관내 미아 발생 시 간단한 의료비, 교통비 지원",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000511&wlfareInfoReldBztpCd=02,충청북도,보은군,충청북도 보은군 주민행복과,,1회성,현금지급,"영유아, 아동",,서민금융,303,20250813
WLF00001508,서산시희망공원 매장묘지 개·화장 지원금,화장 문화 확산에 따른 화장 장려 및 희망공원 정비,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001508&wlfareInfoReldBztpCd=02,충청남도,서산시,충청남도 서산시 복지문화국 경로장애인과,방문,수시,현금지급,,,서민금융,1342,20250813
WLF00004170,고국방문 사업,"결혼후 몇년간 고향방문을 하지못한 이주여성에게 고향방문 기회제공으로 행복하고 안정적인 결혼생활 지원 
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004170&wlfareInfoReldBztpCd=02,충청북도,괴산군,충청북도 괴산군 행정복지국 가족행복과,방문,1회성,"현금지급, 기타",,다문화·탈북민,서민금융,550,20250813
WLF00002681,행복한 가정 이루기 합동결혼식,"괴산군민과 외국인 근로자, 다문화가족들과 함께 할 수 있는 사회통합 환경 조성
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002681&wlfareInfoReldBztpCd=02,충청북도,괴산군,충청북도 괴산군 행정복지국 가족행복과,방문,1회성,"프로그램/서비스(서비스), 현물지급","노년, 중장년, 청년",다문화·탈북민,,771,20250813
WLF00003527,장애인 복지카드 발급비 및 배송비 지원,관내 등록장애인을 대상으로 통합복지카드 발급 수수료 및 우편배송비 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003527&wlfareInfoReldBztpCd=02,충청북도,괴산군,충청북도 괴산군 행정복지국 주민복지과,방문,월,감면,,장애인,서민금융,1410,20250813
WLF00000083,사랑의 인술사업,"생활 형편이 어려운 기준 중위소득 80% 이하 가구로 화상·정형 및 각막이식 대상으로 무료시술 사업 지원을 통해
새로운 희망과 용기 부여, 경제적 부담 경감
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000083&wlfareInfoReldBztpCd=02,충청남도,,충청남도 복지보건국 장애인복지과,방문,1회성,현금지급,,,"신체건강, 서민금융",330,20250813
WLF00001355,참전유공자 사망위로금,참전유공자들에 대한 관심과 예우풍토 조성 및  유공자 사망시 유족 위로,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001355&wlfareInfoReldBztpCd=02,대전광역시,동구,대전광역시 동구 복지환경국 복지정책과,방문,1회성,현금지급,,보훈대상자,"서민금융, 안전·위기",1095,20250813
WLF00000825,보훈대상자 위문,"- 6월 호국보훈의 달을 맞이하여 국가와 민족을 위해 헌신.공헌하신 보훈대상자 및 유족 위문
- 8.15 광복절을 맞이하여 조국의 광복을 위해 희생, 헌신하신 독립유공자 및 유족 위문
- 설, 명절 맞이하여 국가를 위해 헌신하고 희생하신 보훈대상자 및 유족 위문",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000825&wlfareInfoReldBztpCd=02,대전광역시,동구,대전광역시 동구 복지환경국 복지정책과,,1회성,실물바우처,,보훈대상자,,416,20250813
WLF00001948,행려자노숙인 지원,주거지가 아닌 타지방에서 숙식할 능력이 없고 일정한 거소가 없는 자가 연고지로 귀향을 희망할 경우 귀향여비를 지급함으로써 위기에 처한 행려자(노숙인)를 안전하게 구호하는 것을 목적으로 함.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001948&wlfareInfoReldBztpCd=02,광주광역시,동구,광주광역시 동구 주민복지국 복지정책과,방문,수시,기타,,,,263,20250813
WLF00001312,국제결혼가정지원 (자녀 입학금 지원금 ),부여군 거주하는 국제결혼가정 자녀입학금을 지원함으로써  안정적인 가정생활을 영위하고 삶의질 향상과 우리사회에 더불어 살아갈 수 있는 여건을 조성,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001312&wlfareInfoReldBztpCd=02,충청남도,부여군,충청남도 부여군 행정복지국 가족행복과,방문,1회성,현금지급,청소년,다문화·탈북민,"서민금융, 교육",963,20250813
WLF00001979,참전용사 TV수신료 지원,국가유공자 및 유족들에 대한 각종 지원으로 위로 및 사기앙양,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001979&wlfareInfoReldBztpCd=02,제주특별자치도,제주시,제주특별자치도 제주시 복지위생국 주민복지과,,1회성,현금지급,,보훈대상자,서민금융,753,20250813
WLF00001731,국가유공자상수도요금감면,"국가유공자, 유족에 대해 상수도 가정용 요금지원
      ※ 월 4,600원까지",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001731&wlfareInfoReldBztpCd=02,제주특별자치도,제주시,제주특별자치도 제주시 복지위생국 주민복지과,방문,월,감면,,보훈대상자,서민금융,636,20250813
WLF00003745,기미아보호,기미아보호지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003745&wlfareInfoReldBztpCd=02,강원특별자치도,영월군,강원특별자치도 영월군 여성가족과,방문,1회성,기타,"아동, 청소년",,,210,20250813
WLF00003724,결식아동급식지원(연중),저소득 가정의 아동들이 건강하게 자랄 수 있도록 급식지원 등을 통해 결식 예방 및 영양개선,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003724&wlfareInfoReldBztpCd=02,강원특별자치도,영월군,강원특별자치도 영월군 여성가족과,방문,월,기타,"청소년, 아동","저소득, 한부모·조손",,802,20250813
WLF00003793,공공근로사업 운영,실직자에게 일자리제공으로 생활안정 및 지역경제 활성화,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003793&wlfareInfoReldBztpCd=02,전북특별자치도,진안군,전북특별자치도 진안군 농촌경제국 농촌활력과,방문,월,현금지급,"중장년, 청년",,서민금융,805,20250813
WLF00001409,무연고수급자장례비지원,무연고국민기초생활보장수급자장례비지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001409&wlfareInfoReldBztpCd=02,충청남도,아산시,충청남도 아산시 문화복지국 사회복지과,,1회성,현금지급,"노년, 영유아, 아동, 청년, 중장년, 청소년",,서민금융,4465,20250813
WLF00001886,행여자보호지원,행여자임시보호비지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001886&wlfareInfoReldBztpCd=02,충청남도,아산시,충청남도 아산시 문화복지국 사회복지과,방문,1회성,현금지급,"중장년, 청년, 노년",,서민금융,289,20250813
WLF00004092,보훈대상자지원,"국가을 위하여 희생하거나 공헌한 국가유공자, 그 유족 또는 가족을 합당하게 예우하고 지원함으로써 이들의 생활안정과 복지향상을 도모하고 국민의 애국정신을 기르는 데에 이바지함을 목적으로 한다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004092&wlfareInfoReldBztpCd=02,충청남도,아산시,충청남도 아산시 문화복지국 사회복지과,방문,월,현금지급,,보훈대상자,서민금융,1633,20250813
WLF00000624,가정위탁양육지원,보호대상아동을 양육을 희망하는 가정에 위탁양육함으로써 가정적인 분위기에서 건전한 사회인으로 자랄 수 있도록 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000624&wlfareInfoReldBztpCd=02,강원특별자치도,평창군,강원특별자치도 평창군 행정지원국 가족복지과,방문,월,현금지급,"아동, 영유아, 청소년",,"서민금융, 안전·위기",366,20250813
WLF00003448,저소득층 보험료 지원,"저소득세대(65세이상 노인세대, 장애인세대, 한부모가정 중 월 최저보험료 이하세대에게 국민건강보험료 및 노인장기요양보험료를 지원하여 군민의 건강증진과 의료복지 사각지대 해소 ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003448&wlfareInfoReldBztpCd=02,충청남도,부여군,충청남도 부여군 행정복지국 가족행복과,전화,월,감면,노년,"장애인, 한부모·조손",서민금융,558,20250813
WLF00004535,공공근로사업추진,취약계층 일자리 제공,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004535&wlfareInfoReldBztpCd=02,충청남도,서산시,충청남도 서산시 경제환경국 일자리경제과,방문,월,현금지급,"노년, 중장년, 청년",,"서민금융, 입양·위탁",713,20250813
WLF00001422,국민기초생활보장수급자 음식물쓰레기 납부필증 구입비 지원,국민기초생활보장수급자의 생활안정 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001422&wlfareInfoReldBztpCd=02,울산광역시,북구,울산광역시 북구 복지교육국 복지정책과,,분기,현금지급,,저소득,서민금융,992,20250813
WLF00000908,국민기초생활보장수급자 종량제봉투 구입비 지원,국민기초생활보장수급자의 생활안정 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000908&wlfareInfoReldBztpCd=02,울산광역시,북구,울산광역시 북구 복지교육국 복지정책과,,분기,현금지급,,저소득,서민금융,2417,20250813
WLF00003495,노인무료급식 지원,"장수식당 : 장날 등을 통해 노인들에게 무료로 점식식사를 제공하여 노인친목도모 및 노인공경 사회적분위기 조성
저소득 재가노인 식사배달 : 식사를 거를 우려가 있는 노인들에게 주5회 반찬 배달",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003495&wlfareInfoReldBztpCd=02,강원특별자치도,평창군,강원특별자치도 평창군 행정지원국 가족복지과,방문,주,현물지급,노년,,안전·위기,530,20250813
WLF00003519,저소득 재가노인지원,"-저소득노인 건강보험료 지원 : 건강보험료 하한액 이하인 저소득 노인가구에 건강보험료 지원
-안심폰 지원 : 기초생활수급자 독거노인 안부확인을 위한 안심폰 기본료 7,700원 지원",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003519&wlfareInfoReldBztpCd=02,강원특별자치도,평창군,강원특별자치도 평창군 행정지원국 가족복지과,,월,"감면, 현금지급",노년,,서민금융,681,20250813
WLF00006161,전국민 마음투자 지원사업,"우울·불안 등 정서적 어려움이 있는 국민에게 심리상담 서비스를 제공하여, 국민의 마음건강 돌봄 및 정신질환 사전 예방·조기발견",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006161&wlfareInfoReldBztpCd=02,충청북도,,충청북도 괴산군 보건소,"방문, 인터넷",년,전자바우처(바우처),,,,3074,20250812
WLF00006160,고성군 노인 보청기 구입비 지원,노인성 질환 중 난청으로 인해 불편함을 겪고있는 노인들의 편의 증진 및 경제적 부담 완화를 위함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006160&wlfareInfoReldBztpCd=02,강원특별자치도,고성군,강원특별자치도 고성군 행정복지국 복지과,방문,수시,현금지급,노년,저소득,"서민금융, 신체건강",65,20250812
WLF00006159,태백시 보건위생물품 지원 사업,청소년 지원법 및 건강가정기본법에 다라 여성 청소년의 건강한 성장과 다자녀가정 여성의 건강한 삶의 위하여 보건위생에 필요한 물품을 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006159&wlfareInfoReldBztpCd=02,강원특별자치도,태백시,강원특별자치도 태백시 행정국 사회복지과,방문,반기,지역화폐,"중장년, 청소년",다자녀,서민금융,45,20250812
WLF00006157,출생가정축하상생카드지원,출생가정에 지역화폐 지원을 통해 출생가정의 경제적 부담 경감,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006157&wlfareInfoReldBztpCd=02,광주광역시,,광주광역시 여성가족국 여성가족과,방문,1회성,전자바우처(바우처),영유아,,,1117,20250812
WLF00005828,순창군 아이랜드,"아동의 복지증진을 위해 순창군 아이랜드의 운영에 필요한 사항을 규정함으로써, 장난감 대여 서비스를 제공하고 안전하며 건강한 실내형 놀이공간을 제공하여 행복한 보육환경을 조성하는 것을 목적으로 한다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005828&wlfareInfoReldBztpCd=02,전북특별자치도,순창군,전북특별자치도 순창군 행정복지국 주민복지과,"전화, 방문, 인터넷",년,기타,"영유아, 아동, 청소년",,,207,20250812
WLF00005833,임실군 체육시설관리 운영,저출생 대응을 위한 다자녀 가구 지원 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005833&wlfareInfoReldBztpCd=02,전북특별자치도,임실군,전북특별자치도 임실군 시설사업소,"방문, 전화",수시,감면,,,서민금융,121,20250812
WLF00005827,여성문화관 사용료 및 수강료 면제,여성문화관 관리와 다양한 교육 운영으로 시민의 문화 활동 증진과 건강한 삶의 질 향상 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005827&wlfareInfoReldBztpCd=02,전북특별자치도,정읍시,전북특별자치도 정읍시 복지환경국 인재양성과,방문,반기,감면,,"보훈대상자, 장애인, 저소득",서민금융,223,20250812
WLF00005822,다자녀가정 셋째아 고등학생 학자금 지원,교육비 부담으로 출산을 기피함에 따라 다자녀 가정에 학자금 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005822&wlfareInfoReldBztpCd=02,전북특별자치도,정읍시,전북특별자치도 정읍시 복지환경국 인재양성과,"전화, 우편, 방문",분기,현금지급,청소년,다자녀,"서민금융, 교육",574,20250812
WLF00005821,순창군 여성보건위생물품 지원,저소득층 여성에게 보건위생에 필요한 생리용품을 지원하여 여성들의 건강권 보장과 생리용품 가격 상승으로 인한 경제적 부담을 덜어주기 위함 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005821&wlfareInfoReldBztpCd=02,전북특별자치도,순창군,전북특별자치도 순창군 행정복지국 주민복지과,방문,반기,현물지급,"청소년, 청년, 아동, 영유아, 중장년","한부모·조손, 저소득",,118,20250812
WLF00005829,순창군 아동행복수당 지원,순창군 아동행복수당을 시행하여 출산장려와 아동양육환경에 대한 경제적 부담을 경감하고 안정된 양육환경을 조성하여 순창군의 저출산 극복에 기여하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005829&wlfareInfoReldBztpCd=02,전북특별자치도,순창군,전북특별자치도 순창군 행정복지국 주민복지과,방문,월,지역화폐,"청소년, 영유아, 아동","저소득, 다자녀, 다문화·탈북민, 한부모·조손",서민금융,253,20250812
